"Title:","Census Tract Characteristics: Summary from the Food Access Research Atlas Database"
"SubTitle:","Indicator: Population, total"
"Time:","2015"
"Unit of Measure:","#"
"Citation:","Economic Research Service, United States Department of Agriculture  (2020-06-22). Census Tract Characteristics: Summary: Census Tract Characteristics: Summary | 2015 | Population, total, 2015. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  008-013-001 doi:https://doi.org/10.6068/DP17C24C666D729"
"ColumnCount:","4"
"RowCount:","1"

"State","2015"
"Arizona",6392017



"Publisher:", "United States Department of Agriculture "
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."